# t (fm/c), e (GeV/fm^3), T (MeV), muB (MeV), muS (MeV), muQ (MeV)
       0.000,       0.000,       0.000,       0.000,      -0.000,       0.000
       0.122,       0.076,      77.903,      10.053,       3.495,      -0.433
       0.200,      45.903,     385.510,     248.108,      86.213,     -10.530
       0.326,      23.457,     326.181,     177.580,      61.716,      -7.567
       0.531,      13.113,     282.174,     132.860,      46.178,      -5.676
       0.867,       7.639,     246.598,     101.429,      35.257,      -4.341
       1.413,       4.547,     216.651,      78.259,      27.204,      -3.354
       2.305,       2.739,     190.904,      60.731,      21.112,      -2.605
       3.759,       1.662,     168.507,      47.320,      16.450,      -2.031
       6.131,       1.012,     148.887,      36.930,      12.839,      -1.586
      10.000,       0.618,     131.630,      28.825,      10.021,      -1.239
